,Title,Description
0,Traditionele Arretjescake,Deze cake is perfect bij de koffie door zijn intense chocoladesmaak.
1,Zo maak je fryramisu (tiramisu met Fryske dúmkes),"Fyramisu. Want wat met lange vingers kan, kan ook met Fryske dúmkes. Bjusterbaarlik lekker. "
2,Dé frisse koffiecocktail van deze zomer,Probeer deze heerlijke frisse koffiecocktail met de likeur van Hollands Genoegen.
3,De populaire Dalgona koffie,Fluffy ijskoffie is de koffie trend van 2020. Het is makkelijk te maken en ook nog eens lekker.
4,Koffie milkshake met vanille-ijs en banaan,Zin in een zoete koffie variant? Deze koffie milkshake met vanille-ijs en banaan is het perfecte drankje.
5,Filterkoffie met ijsblokjes van cola,Voor deze ‘cold brew’ heb je alleen filterkoffie en cola nodig. Gezet volgens de Japanse zetmethode.
6,Zó maak je cantuccini,"Cantuccini, ooit van gehoord? Dit Italiaanse amandelkoekje wordt vaak in de horeca bij de koffie geserveerd."
7,Oelala: Espresso Martini,Punten scoren? Serveer een ijskoude Espresso Martini. 
8,Frisse filterkoffie met tonic,"Voor welke gelegenheid je deze filterkoffie met tonic ook zet, het ijs is meteen gebroken. Wat een smaakexplosie! ﻿"
9,IJskoffie voor het hele jaar door,"IJskoffie alleen in de zomer? Nee hoor, deze koffie kan het hele jaar door. "
10,Panforte: perfect voor bij een espresso,Alle noten verzamelen! Deze panforte moet je echt eens maken. Hij smaakt fantastisch bij een espresso door de mix van verschillende noten. 
11,Filterkoffie met steranijs,Heb je het zetten van een goede filterkoffie onder de knie? Experimenteer dan eens door een ingrediënt toe te voegen.
12,Mazagran: cold brew coffee met citroen,Een verrassende koude koffiedrank is Mazagran: espresso met citroensap en mineraalwater.
13,Voor bij de koffie met kerst: kerstkoffiekoekjes,Je hebt koffie. Je hebt koek. Je hebt kerst. Mix deze ‘elementen’ tot een geheel en je krijgt deze overheerlijke kerstkoffiekoekjes.
14,Koffiesnack: appel met pindakaas en gemalen koffiebonen,Zin in een snack bij de koffie? Hebben we voor je: appel met pindakaas en gemalen koffiebonen. Verrassend lekker! 
15,Ontbijtshake met banaan en koffie,Geen tijd om te ontbijten? Met deze smoothie van banaan en koffie vlieg je zo de deur uit en heb je ook meteen je dosis cafeïne binnen. 
